sample,svm_linear,svm_radial,ranger,WinRate,PickRate,Role,BanRate
1,0.2984014209591474,0.30905861456483125,NA,1,0,0,0
1,0.46536412078152756,0.5275310834813499,NA,0,1,0,0
1,0.6358792184724689,0.6607460035523979,0.5968028419182948,1,1,0,0
1,0.27886323268206037,0.27886323268206037,NA,0,0,1,0
1,0.30905861456483125,0.32149200710479575,0.31438721136767317,1,0,1,0
1,0.5879218472468917,0.5879218472468917,0.5968028419182948,0,1,1,0
1,0.7211367673179396,0.7282415630550622,0.7246891651865008,1,1,1,0
1,0.2699822380106572,0.3623445825932504,NA,0,0,0,1
1,0.36589698046181174,0.4067495559502664,0.35879218472468916,1,0,0,1
1,0.5026642984014209,0.5506216696269982,0.5168738898756661,0,1,0,1
1,0.6429840142095915,0.6678507992895204,0.6518650088809946,1,1,0,1
1,0.33570159857904086,0.40142095914742454,0.4103019538188277,0,0,1,1
1,0.39431616341030196,0.43872113676731794,0.477797513321492,1,0,1,1
1,0.5950266429840142,0.61101243339254,0.6323268206039077,0,1,1,1
1,0.7282415630550622,0.7335701598579041,0.7690941385435168,1,1,1,1
2,0.31382978723404253,0.31560283687943264,NA,1,0,0,0
2,0.50177304964539,0.5195035460992907,NA,0,1,0,0
2,0.6436170212765957,0.6560283687943262,0.599290780141844,1,1,0,0
2,0.2907801418439716,0.2907801418439716,NA,0,0,1,0
2,0.33865248226950356,0.3351063829787234,0.32092198581560283,1,0,1,0
2,0.6099290780141844,0.6063829787234043,0.6205673758865248,0,1,1,0
2,0.7287234042553191,0.7393617021276596,0.7322695035460993,1,1,1,0
2,0.31382978723404253,0.3351063829787234,NA,0,0,0,1
2,0.3723404255319149,0.39184397163120566,0.3351063829787234,1,0,0,1
2,0.5106382978723404,0.5372340425531915,0.46099290780141844,0,1,0,1
2,0.6418439716312057,0.6684397163120568,0.6578014184397163,1,1,0,1
2,0.3262411347517731,0.39184397163120566,0.39184397163120566,0,0,1,1
2,0.37056737588652483,0.425531914893617,0.43617021276595747,1,0,1,1
2,0.5939716312056738,0.5957446808510638,0.6347517730496454,0,1,1,1
2,0.7464539007092199,0.7695035460992907,0.7535460992907801,1,1,1,1
3,0.3262411347517731,0.31382978723404253,NA,1,0,0,0
3,0.4804964539007092,0.49822695035460995,NA,0,1,0,0
3,0.6276595744680851,0.6276595744680851,0.5957446808510638,1,1,0,0
3,0.2570921985815603,0.2570921985815603,NA,0,0,1,0
3,0.3102836879432624,0.324468085106383,0.299645390070922,1,0,1,0
3,0.5691489361702128,0.5726950354609929,0.5939716312056738,0,1,1,0
3,0.7340425531914894,0.7269503546099291,0.725177304964539,1,1,1,0
3,0.2925531914893617,0.33865248226950356,NA,0,0,0,1
3,0.3617021276595745,0.38652482269503546,0.32269503546099293,1,0,0,1
