,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
1,Aatrox,Fighter,TOP,A,50.77,-24.98,0.4769,0.9415,0.0525,0.0771,1.75,13_1
2,Ahri,Mage,MID,A,53.75,-2.8,0.4983,0.9579,0.0543,0.0133,2.64,13_1
3,Akali,Assassin,MID,S,58.14,-8.3,0.4898,0.7960,0.0789,0.1169,2.39,13_1
4,Akali,Assassin,TOP,D,36.79,-2.75,0.4457,0.1993,0.0213,0.1169,1.99,13_1
5,Akshan,Marksman,MID,A,50.4,2.85,0.5142,0.6263,0.0321,0.0516,2.22,13_1
6,Akshan,Marksman,TOP,A,49.87,7.49,0.5289,0.3566,0.0157,0.0511,2,13_1
7,Alistar,Tank,SUPPORT,B,43.95,2.56,0.5087,0.9654,0.0233,0.0032,2.52,13_1
8,Amumu,Tank,JUNGLE,S,56,15.52,0.5233,0.4930,0.0495,0.0467,2.75,13_1
9,Amumu,Tank,SUPPORT,A,53.81,1.37,0.5305,0.5005,0.0466,0.0467,2.24,13_1
10,Anivia,Mage,MID,S,58.63,8.03,0.5307,0.8899,0.0443,0.0382,2.94,13_1
11,Annie,Mage,TOP,B,42.79,999NEW,0.5049,0.1464,0.0031,0.0036,2.22,13_1
12,Annie,Mage,MID,B,42.51,0.88,0.4921,0.7183,0.0119,0.0036,2.26,13_1
13,Annie,Mage,SUPPORT,D,25.69,2.53,0.4562,0.1335,0.0020,0.0036,1.97,13_1
14,Aphelios,Marksman,ADC,D,27.89,4.05,0.4807,0.9733,0.0304,0.0037,1.94,13_1
15,Ashe,Marksman,SUPPORT,S,61.67,12.13,0.4948,0.5360,0.0907,0.0533,2.47,13_1
16,Ashe,Marksman,ADC,B,47.38,0.28,0.5079,0.4472,0.0691,0.0533,2.44,13_1
17,Aurelion Sol,Mage,MID,B,42.55,4.51,0.4947,0.8797,0.0069,0.0027,2.41,13_1
18,Azir,Mage,MID,C,40.33,0.55,0.4661,0.9358,0.0249,0.0046,2.15,13_1
19,Bard,Support,SUPPORT,S,55.32,-1.23,0.5064,0.9714,0.0552,0.0091,3.15,13_1
20,Bel'Veth,Fighter,JUNGLE,A,54.61,-2.03,0.5224,0.9642,0.0473,0.1091,2.42,13_1
21,Blitzcrank,Tank,SUPPORT,S,61.95,-3.51,0.5347,0.9665,0.0614,0.1159,2.57,13_1
22,Brand,Mage,SUPPORT,B,46.35,-3.68,0.5194,0.7843,0.0334,0.0376,1.87,13_1
23,Brand,Mage,MID,B,42.96,-0.52,0.5049,0.1419,0.0074,0.0461,2.05,13_1
24,Braum,Support,SUPPORT,C,39.98,-1.19,0.4899,0.9882,0.0179,0.0020,2.76,13_1
25,Caitlyn,Marksman,ADC,God,92.6,0.21,0.5025,0.9782,0.2159,0.2151,2.27,13_1
26,Camille,Fighter,TOP,S,60.18,-1.53,0.4987,0.9615,0.0687,0.0409,1.94,13_1
27,Cassiopeia,Mage,MID,A,53.5,7.08,0.5215,0.7983,0.0430,0.0268,2.18,13_1
28,Cassiopeia,Mage,TOP,B,47.39,5.04,0.5317,0.1524,0.0084,0.0268,1.88,13_1
29,Cho'Gath,Tank,TOP,B,48.12,4.43,0.5163,0.6617,0.0172,0.0058,2.06,13_1
