"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"1","Aatrox","Fighter","TOP","S",57.26,"-33.45",0.4642,0.8299,0.0707,0.0922,1.66,"13_1"
"2","Aatrox","Fighter","MID","B",45.88,"999NEW",0.5233,0.1045,0.0081,0.0904,2.08,"13_1"
"3","Ahri","Mage","MID","S",54.9,"5.16",0.4921,0.9414,0.0572,0.0087,2.5,"13_1"
"4","Akali","Assassin","MID","S",61.69,"5.82",0.4762,0.744,0.0894,0.0831,2.36,"13_1"
"5","Akali","Assassin","TOP","B",44.82,"-3.26",0.4695,0.2502,0.0317,0.0862,1.99,"13_1"
"6","Akshan","Marksman","MID","A",49.62,"-0.13",0.5051,0.726,0.033,0.0288,2.18,"13_1"
"7","Akshan","Marksman","TOP","C",40.02,"-9.66",0.4945,0.1925,0.0097,0.0299,1.88,"13_1"
"8","Alistar","Tank","SUPPORT","A",50.36,"0.09",0.5101,0.9664,0.0345,0.0092,2.45,"13_1"
"9","Amumu","Tank","SUPPORT","S",58.47,"-1.26",0.5201,0.7329,0.0733,0.0878,2.12,"13_1"
"10","Amumu","Tank","JUNGLE","A",48.66,"5.73",0.4931,0.2692,0.0319,0.0922,2.72,"13_1"
"11","Anivia","Mage","MID","S",55.72,"5.46",0.5205,0.7749,0.0317,0.0379,2.97,"13_1"
"12","Anivia","Mage","SUPPORT","C",39.03,"-1.82",0.4788,0.1452,0.0046,0.0382,2.17,"13_1"
"13","Annie","Mage","MID","D",37.2,"-11.81",0.4668,0.771,0.0056,6e-04,2.45,"13_1"
"14","Annie","Mage","SUPPORT","D",36.65,"3.42",0.4709,0.1808,0.0014,7e-04,2.03,"13_1"
"15","Aphelios","Marksman","ADC","D",24.15,"-8.89",0.4436,0.9596,0.0396,0.0023,1.96,"13_1"
"16","Ashe","Marksman","SUPPORT","God",70.01,"16.59",0.5092,0.6693,0.1302,0.1319,2.35,"13_1"
"17","Ashe","Marksman","ADC","C",42.84,"-4.31",0.5001,0.3066,0.0507,0.1319,2.51,"13_1"
"18","Aurelion Sol","Mage","MID","B",44.48,"-0.89",0.5037,0.939,0.0075,0.0013,2.56,"13_1"
"19","Azir","Mage","MID","B",45.23,"4.18",0.4874,0.8631,0.0301,0.0069,2.09,"13_1"
"20","Bard","Support","SUPPORT","B",47.64,"-5.06",0.491,0.9762,0.0243,0.0011,3,"13_1"
"21","Bel'Veth","Fighter","JUNGLE","A",49.63,"2.55",0.5098,0.8783,0.028,0.0145,2.48,"13_1"
"22","Blitzcrank","Tank","SUPPORT","God",93.16,"2.35",0.5207,0.9806,0.1571,0.4227,2.44,"13_1"
"23","Brand","Mage","SUPPORT","B",47.24,"1.36",0.5201,0.6997,0.0197,0.008,1.89,"13_1"
"24","Brand","Mage","MID","B",43.47,"-3.16",0.5113,0.1862,0.0056,0.0072,2.18,"13_1"
"25","Braum","Support","SUPPORT","B",45.76,"-0.02",0.4988,0.9854,0.0127,6e-04,2.7,"13_1"
"26","Caitlyn","Marksman","ADC","God",87.13,"-2.81",0.5035,0.9444,0.2098,0.2371,2.34,"13_1"
"27","Camille","Fighter","TOP","S",60.67,"4.37",0.5108,0.9007,0.059,0.0151,1.93,"13_1"
"28","Cassiopeia","Mage","TOP","A",50.83,"2.25",0.5485,0.2104,0.01,0.0138,2.08,"13_1"
"29","Cassiopeia","Mage","MID","A",50.13,"6.41",0.5197,0.685,0.0254,0.0138,2.21,"13_1"
"30","Cho'Gath","Tank","MID","B",46.55,"-0.68",0.524,0.3103,0.0048,7e-04,2.41,"13_1"
"31","Cho'Gath","Tank","TOP","B",42.91,"-2.3",0.5088,0.4873,0.0077,7e-04,2.09,"13_1"
"32","Corki","Marksman","MID","D",35.11,"-7.14",0.464,0.8953,0.0067,3e-04,2.05,"13_1"
"33","Darius","Fighter","TOP","God",76.84,"11",0.5103,0.9337,0.0839,0.2001,1.88,"13_1"
