"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"1","Aatrox","Fighter","TOP","A",55.51,"-24.9",0.4873,0.9151,0.0601,0.0967,1.79,"13_1"
"2","Ahri","Mage","MID","S",57.9,"0.17",0.4976,0.9321,0.0569,0.0184,2.61,"13_1"
"3","Akali","Assassin","MID","S",62.32,"-3.63",0.4831,0.7859,0.0767,0.0848,2.41,"13_1"
"4","Akali","Assassin","TOP","C",38.94,"-4.32",0.4568,0.2078,0.0198,0.0848,2,"13_1"
"5","Akshan","Marksman","MID","A",50.74,"1.33",0.5088,0.7077,0.0321,0.0446,2.22,"13_1"
"6","Akshan","Marksman","TOP","B",44,"5.69",0.5053,0.2165,0.0097,0.0446,1.94,"13_1"
"7","Alistar","Tank","SUPPORT","B",43.11,"-2.98",0.5071,0.9565,0.0289,0.0062,2.51,"13_1"
"8","Amumu","Tank","JUNGLE","S",57.24,"14.35",0.5099,0.4989,0.0552,0.0684,2.66,"13_1"
"9","Amumu","Tank","SUPPORT","A",53.51,"-0.71",0.5212,0.5099,0.0484,0.0654,2.16,"13_1"
"10","Anivia","Mage","MID","S",57.72,"7.43",0.515,0.8697,0.0412,0.0479,2.92,"13_1"
"11","Annie","Mage","MID","B",42.9,"-1.42",0.4916,0.8316,0.0163,0.0056,2.26,"13_1"
"12","Annie","Mage","SUPPORT","D",10.88,"-21.1",0.4194,0.1202,0.0025,0.0061,1.91,"13_1"
"13","Aphelios","Marksman","ADC","D",31.43,"-1.19",0.4728,0.9509,0.0376,0.004,1.96,"13_1"
"14","Ashe","Marksman","SUPPORT","S",67.09,"15.85",0.5037,0.5159,0.0843,0.0615,2.47,"13_1"
"15","Ashe","Marksman","ADC","A",48.48,"-2.64",0.4953,0.4491,0.0724,0.0615,2.37,"13_1"
"16","Aurelion Sol","Mage","MID","C",41.77,"5.35",0.4945,0.8848,0.0078,0.0034,2.48,"13_1"
"17","Azir","Mage","MID","B",42.76,"8.28",0.4762,0.9032,0.0262,0.0063,2.13,"13_1"
"18","Bard","Support","SUPPORT","S",57.23,"3.66",0.5246,0.9705,0.0459,0.0059,3.2,"13_1"
"19","Bel'Veth","Fighter","JUNGLE","A",48.76,"-8.98",0.4997,0.8931,0.0412,0.0618,2.4,"13_1"
"20","Blitzcrank","Tank","SUPPORT","God",72.38,"4.2",0.5212,0.975,0.0722,0.2334,2.49,"13_1"
"21","Brand","Mage","SUPPORT","C",41.25,"-12.48",0.4968,0.7244,0.0357,0.0412,1.86,"13_1"
"22","Brand","Mage","MID","C",40.29,"-4.59",0.4924,0.1784,0.0099,0.0457,2.04,"13_1"
"23","Braum","Support","SUPPORT","D",34.4,"-7.92",0.4861,0.981,0.0166,0.0024,2.66,"13_1"
"24","Caitlyn","Marksman","ADC","God",93.14,"0.96",0.4986,0.9654,0.2028,0.2253,2.33,"13_1"
"25","Camille","Fighter","TOP","S",61.09,"-4.56",0.5008,0.9428,0.0715,0.0329,2,"13_1"
"26","Cassiopeia","Mage","MID","A",53.27,"7.48",0.5293,0.8,0.0284,0.0184,2.33,"13_1"
"27","Cassiopeia","Mage","TOP","B",42.01,"-0.59",0.5012,0.1053,0.0038,0.0188,2.03,"13_1"
"28","Cho'Gath","Tank","TOP","B",44.64,"-1.37",0.493,0.6444,0.0189,0.007,2.01,"13_1"
"29","Cho'Gath","Tank","MID","C",41.47,"-2.77",0.5025,0.2047,0.0058,0.0076,2.24,"13_1"
"30","Corki","Marksman","MID","C",40.61,"2.16",0.4925,0.8766,0.0088,0.0021,2.22,"13_1"
"31","Corki","Marksman","ADC","D",10.88,"-7.81",0.4208,0.103,9e-04,0.0024,1.92,"13_1"
"32","Darius","Fighter","TOP","S",67.86,"-5.01",0.5015,0.9349,0.0817,0.1796,1.88,"13_1"
"33","Diana","Fighter","JUNGLE","S",61.44,"-5.62",0.5125,0.7126,0.0682,0.0385,2.62,"13_1"
"34","Diana","Fighter","MID","B",47.14,"-4.43",0.498,0.2936,0.0276,0.0407,2.14,"13_1"
"35","Dr. Mundo","Marksman","TOP","A",51.15,"-30.47",0.4989,0.8297,0.0376,0.1015,1.81,"13_1"
"36","Dr. Mundo","Marksman","JUNGLE","D",28.73,"-22.45",0.4611,0.1194,0.0061,0.112,2.36,"13_1"
"37","Draven","Fighter","ADC","S",63.79,"3.13",0.5093,0.9675,0.0904,0.2865,2.14,"13_1"
"38","Ekko","Assassin","JUNGLE","God",68.92,"-4.64",0.5179,0.7,0.0775,0.0919,2.93,"13_1"
"39","Ekko","Assassin","MID","A",48.74,"-6.55",0.4999,0.2774,0.0274,0.0919,2.34,"13_1"
"40","Elise","Mage","JUNGLE","God",70.62,"21.06",0.5295,0.948,0.0726,0.1061,2.95,"13_1"
"41","Evelynn","Assassin","JUNGLE","A",52.08,"-0.12",0.4908,0.9684,0.0472,0.0832,2.91,"13_1"
"42","Ezreal","Marksman","ADC","God",70.6,"-3.55",0.4838,0.9589,0.1732,0.0336,2.41,"13_1"
