"symbol","state","city.state","zip"
"A","CA","SANTA CLARA CA 95052-8059","95052-8059"
"AAPL","CA","CUPERTINO CA 95014","95014"
"ABT","IL","ABBOTT PARK IL 60064-3500","60064-3500"
"ACN","L2","DUBLIN L2 D2","2 D2"
"ADBE","CA","SAN JOSE CA 95110-2704","95110-2704"
"ADI","MA","WILMINGTON MA 01887","01887"
"ADM","IL","CHICAGO IL 60601","60601"
"ADP","NJ","ROSELAND NJ 07068","07068"
"ADSK","CA","SAN FRANCISCO CA 94105","94105"
"AEE","MO","ST LOUIS MO 63103","63103"
"AEP","OH","COLUMBUS OH 43215","43215"
"AFL","GA","COLUMBUS GA 31999","31999"
"AIG","NY","NEW YORK NY 10020-1304","10020-1304"
"ALL","IL","NORTHBROOK IL 60062","60062"
"AMAT","CA","SANTA CLARA CA 95054-3299","95054-3299"
"AMD","CA","SANTA CLARA CA 95054","95054"
"AMGN","CA","THOUSAND OAKS CA 91320","91320"
"AMP","MN","MINNEAPOLIS MN 55474","55474"
"AMT","MA","BOSTON MA 02116","02116"
"AMZN","WA","SEATTLE WA 98109","98109"
"AON","L2","DUBLIN 1 L2 D01 K0Y8","1 L2 D01 K0Y8"
"APD","PA","ALLENTOWN PA 18106-5500","18106-5500"
"AVB","VA","ARLINGTON VA 22203","22203"
"AXP","NY","NEW YORK NY 10285","10285"
"AZO","TN","MEMPHIS TN 38101-2198","38101-2198"
"BA","VA","ARLINGTON VA 22202","22202"
"BAC","NC","CHARLOTTE NC 28255","28255"
"BDX","NJ","FRANKLIN LAKE NJ 07417","07417"
"BIIB","MA","CAMBRIDGE MA 02142","02142"
"BK","NY","NEW YORK NY 10286","10286"
"BLK","NY","NEW YORK NY 10001","10001"
"BMY","NJ","PRINCETON NJ 08543","08543"
"BSX","MA","MARLBOROUGH MA 01752-1234","01752-1234"
"C","NY","NEW YORK NY 10013","10013"
"CAH","OH","DUBLIN OH 43017","43017"
"CAT","TX","IRVING TX 75039","75039"
"CB","V8","ZURICH V8 CH-8001","8 CH-8001"
"CCI","TX","HOUSTON TX 77024","77024"
"CCL","FL","MIAMI FL 33178","33178"
"CI","CT","BLOOMFIELD CT 06002","06002"
"CL","NY","NEW YORK NY 10022","10022"
"CMCSA","PA","PHILADELPHIA PA 19103-2838","19103-2838"
"CME","IL","CHICAGO IL 60606","60606"
"CMG","CA","NEWPORT BEACH CA 92660","92660"
"CMI","IN","COLUMBUS IN 47202-3005","47202-3005"
"COF","VA","MCLEAN VA 22102","22102"
"COP","TX","HOUSTON TX 77084","77084"
"COST","WA","ISSAQUAH WA 98027","98027"
"CRM","CA","SAN FRANCISCO CA 94105","94105"
"CSCO","CA","SAN JOSE CA 95134-1706","95134-1706"
"CSX","FL","JACKSONVILLE FL 32202","32202"
"CTAS","OH","CINCINNATI OH 45262","45262"
"CTSH","NJ","TEANECK NJ 07666","07666"
"CVS","RI","WOONSOCKET RI 02895","02895"
"CVX","CA","SAN RAMON CA 94583","94583"
"D","VA","RICHMOND VA 23261","23261"
"DD","DE","WILMINGTON DE 19805","19805"
"DE","IL","MOLINE IL 61265-8098","61265-8098"
"DELL","TX","ROUND ROCK TX 78682","78682"
"DFS","IL","RIVERWOODS IL 60015","60015"
"DHI","TX","ARLINGTON TX 76011","76011"
"DHR","DC","WASHINGTON DC 20037-1701","20037-1701"
"DIS","CA","BURBANK CA 91521","91521"
"DLTR","VA","CHESAPEAKE VA 23320","23320"
"DOV","IL","DOWNERS GROVE IL 60515","60515"
"DOW","MI","MIDLAND MI 48674","48674"
"DTE","MI","DETROIT MI 48226","48226"
